Student,LPIPS,SSIM
110590029.png,0.0,1.0
109590052.png,0.3279055953025818,0.7423339516843694
109590057.png,0.3695187270641327,0.7448018141181283
109590015.png,0.4026322364807129,0.701923552102623
112598048.png,0.4034672975540161,0.6944708056892601
112598083.png,0.4431135058403015,0.6713899472960435
112598071.png,0.5141409635543823,0.5656329536476615
112598075.png,0.5167498588562012,0.574621565101281
